x,y
8.688926125707665733e+02,7.063220583338712686e+02
8.876218199349684710e+02,7.133375263516677478e+02
9.059960040511687112e+02,7.212362197919765094e+02
9.230590641869239334e+02,7.316694349629390217e+02
9.430527153162706782e+02,7.321733342762640859e+02
9.621115413247251809e+02,7.261102367857515674e+02
9.818392447037688271e+02,7.228212066264997020e+02
9.984178823858411533e+02,7.116342154042554284e+02
1.018368899389775947e+03,7.102353156549145297e+02
1.038087331629808432e+03,7.135794792267582807e+02
1.058038348633743226e+03,7.121805794774173819e+02
1.074616986315815666e+03,7.009935882551731083e+02
1.093365731344407777e+03,6.940305027427840514e+02
1.111761923455414262e+03,6.861832028367689418e+02
1.131489626834458022e+03,6.828941726775170764e+02
1.151436655443871814e+03,6.843488374688801059e+02
1.171430306573218559e+03,6.848527367822052838e+02
1.191425288172052888e+03,6.844047291234766135e+02
1.210174033200644999e+03,6.774416436110875566e+02
1.222929379928288427e+03,6.620370621543391962e+02
1.226273543500132291e+03,6.423186299143067117e+02
1.239028890227775719e+03,6.269140484575583514e+02
1.251036809975798633e+03,6.109199913323308238e+02
1.265198698067887563e+03,5.967976358040506284e+02
1.283200663969336347e+03,5.880838981626550321e+02
8.935075090266069537e+02,1.012536253125870871e+03
8.813189142625363957e+02,1.028393054747801898e+03
8.698986220421777489e+02,1.044811852681926666e+03
8.549293716255042455e+02,1.058075394515197331e+03
8.406081810232728913e+02,1.072036178867609578e+03
8.316407694836526616e+02,1.089913134153090596e+03
8.187114832632770458e+02,1.105172018707067764e+03
8.114839894931908475e+02,1.123820432414495144e+03
8.107533006535932145e+02,1.143807080303015255e+03
8.001271816119798359e+02,1.160750680691169464e+03
7.920205468896189132e+02,1.179034074070906627e+03
7.770512964729455234e+02,1.192297615904177292e+03
7.656310042525869903e+02,1.208716413838302060e+03
7.475313421040523281e+02,1.217225363838678277e+03
7.279358200509669814e+02,1.221227302802111581e+03
7.081720731550097980e+02,1.224292316445236793e+03
6.882428309342750481e+02,1.222611452230826899e+03
6.682561830457549377e+02,1.221880763391229266e+03
6.497721495326703689e+02,1.229518859036556478e+03
6.361314608477767933e+02,1.244145260241289407e+03
6.263235865622588108e+02,1.261575280378956222e+03
6.246427223478488031e+02,1.281504522599690972e+03
6.201427400239824692e+02,1.300991701951379810e+03
6.241446789874157730e+02,1.320587224004465043e+03
6.253171504306553743e+02,1.340552827193820121e+03
6.363153420803902236e+02,1.357257311036061537e+03
6.374878135236298249e+02,1.377222914225416616e+03
6.302603197535436266e+02,1.395871327932843997e+03
6.257603374296772927e+02,1.415358507284532834e+03
6.151342183880639141e+02,1.432302107672687043e+03
